sent_class,n_trades,win_rate,avg_pnl,median_pnl
Extreme Greed,11220,0.52825311942959,120.89325779955436,0.5262485
Greed,13103,0.3611386705334656,78.67786763313745,0.0
Fear,160390,0.41379138350271216,44.13592812908536,0.0
Neutral,8196,0.4078818936066374,41.957141846510495,0.0
Extreme Fear,18315,0.35484575484575487,26.578118707616706,0.0
